source,source_user_id,target,target_user_id,weight,N
Dev3,3,Dev327,327,0.581,4
Dev3,3,Dev198,198,0.577,4
Dev168,168,Dev175,175,0.574,4
Dev282,282,Dev467,467,0.57,4
Dev5,194,Dev194,5,0.564,4
Dev53,53,Dev300,300,0.562,4
Dev53,53,Dev137,137,0.56,4
Dev363,369,Dev369,363,0.557,4
Dev194,194,Dev369,369,0.557,4
Dev194,194,Dev363,363,0.557,4
Dev27,27,Dev369,369,0.557,4
Dev27,27,Dev194,194,0.557,4
Dev317,317,Dev467,467,0.555,4
Dev317,317,Dev398,398,0.555,4
Dev115,194,Dev194,115,0.553,4
Dev316,316,Dev467,467,0.55,4
Dev398,415,Dev415,398,0.55,4
Dev316,316,Dev398,398,0.55,4
Dev467,467,Dev498,498,0.55,4
Dev398,398,Dev498,498,0.55,4
Dev415,415,Dev467,467,0.55,4
Dev93,105,Dev105,93,0.544,4
Dev18,18,Dev438,438,0.542,4
Dev14,14,Dev103,103,0.541,4
Dev29,142,Dev142,29,0.54,4
Dev29,290,Dev290,29,0.54,4
Dev3,3,Dev247,247,0.539,4
Dev180,180,Dev392,392,0.539,4
Dev14,14,Dev165,165,0.538,4
Dev180,180,Dev472,472,0.538,4
Dev539,539,Dev542,542,0.537,4
Dev8,8,Dev142,142,0.537,4
Dev389,389,Dev439,439,0.535,4
Dev180,180,Dev389,389,0.535,4
Dev180,180,Dev439,439,0.535,4
Dev414,414,Dev437,437,0.534,4
Dev180,180,Dev468,468,0.529,4
Dev103,103,Dev260,260,0.529,4
Dev398,399,Dev399,398,0.528,4
Dev353,353,Dev399,399,0.528,4
Dev353,353,Dev398,398,0.528,4
Dev63,168,Dev168,63,0.527,4
Dev38,152,Dev152,38,0.526,4
Dev458,458,Dev468,468,0.525,4
Dev335,335,Dev468,468,0.525,4
Dev229,290,Dev290,229,0.524,4
Dev228,290,Dev290,228,0.524,4
Dev180,180,Dev390,390,0.523,4
Dev390,390,Dev391,391,0.523,4
Dev317,317,Dev394,394,0.521,4
Dev316,316,Dev394,394,0.521,4
Dev36,131,Dev131,36,0.52,4
Dev558,558,Dev592,592,0.52,4
Dev38,53,Dev53,38,0.52,4
Dev561,561,Dev592,592,0.52,4
Dev57,57,Dev303,303,0.518,4
Dev327,327,Dev397,397,0.518,4
Dev8,8,Dev225,225,0.518,4
Dev327,327,Dev331,331,0.518,4
Dev205,250,Dev250,205,0.517,4
Dev105,105,Dev311,311,0.516,4
Dev74,74,Dev261,261,0.516,4
Dev57,57,Dev74,74,0.516,4
Dev311,351,Dev351,311,0.516,4
Dev57,57,Dev261,261,0.516,4
Dev38,291,Dev291,38,0.515,4
Dev220,220,Dev359,359,0.514,4
Dev73,168,Dev168,73,0.514,4
Dev97,97,Dev366,366,0.514,4
Dev291,291,Dev366,366,0.514,4
Dev97,97,Dev291,291,0.514,4
Dev308,411,Dev411,308,0.512,4
Dev308,363,Dev363,308,0.512,4
Dev357,411,Dev411,357,0.512,4
Dev308,308,Dev482,482,0.512,4
Dev357,357,Dev500,500,0.512,4
Dev357,357,Dev482,482,0.512,4
Dev357,363,Dev363,357,0.512,4
Dev154,154,Dev205,205,0.51,4
Dev211,211,Dev282,282,0.509,4
Dev138,225,Dev225,138,0.508,4
Dev18,18,Dev293,293,0.508,4
Dev140,225,Dev225,140,0.508,4
Dev398,398,Dev467,467,0.507,5
Dev336,336,Dev415,415,0.507,4
Dev336,336,Dev498,498,0.507,4
Dev263,263,Dev479,479,0.506,4
Dev63,63,Dev479,479,0.506,4
Dev77,77,Dev79,79,0.505,4
Dev526,77,Dev77,526,0.505,4
Dev526,365,Dev365,526,0.505,4
Dev308,359,Dev359,308,0.504,4
Dev77,77,Dev282,282,0.504,4
Dev168,168,Dev297,297,0.504,4
Dev77,77,Dev349,349,0.502,4
Dev205,205,Dev349,349,0.502,4
Dev143,353,Dev353,143,0.501,4
Dev520,348,Dev348,520,0.5,4
Dev209,211,Dev211,209,0.5,4
Dev154,250,Dev250,154,0.499,4
Dev62,62,Dev283,283,0.499,4
Dev105,105,Dev453,453,0.498,4
Dev538,453,Dev453,538,0.498,4
Dev105,105,Dev265,265,0.497,4
Dev7,7,Dev29,29,0.496,4
Dev522,262,Dev262,522,0.495,4
Dev522,67,Dev67,522,0.495,4
Dev522,57,Dev57,522,0.495,4
Dev282,353,Dev353,282,0.495,4
Dev220,220,Dev324,324,0.494,4
Dev181,181,Dev509,509,0.493,4
Dev161,161,Dev180,180,0.493,5
Dev543,359,Dev359,543,0.493,4
Dev77,77,Dev508,508,0.493,4
Dev543,357,Dev357,543,0.492,4
Dev560,357,Dev357,560,0.492,4
Dev560,308,Dev308,560,0.492,4
Dev543,308,Dev308,543,0.492,4
Dev544,308,Dev308,544,0.492,4
Dev544,357,Dev357,544,0.492,4
Dev563,563,Dev571,571,0.491,4
Dev549,549,Dev575,575,0.491,4
Dev573,573,Dev576,576,0.491,4
Dev573,573,Dev575,575,0.491,4
Dev568,568,Dev570,570,0.491,4
Dev575,575,Dev576,576,0.491,4
Dev119,152,Dev152,119,0.491,5
Dev7,56,Dev56,7,0.491,4
Dev575,575,Dev577,577,0.491,4
Dev549,549,Dev573,573,0.491,4
Dev570,570,Dev571,571,0.491,4
Dev549,549,Dev576,576,0.491,4
Dev549,549,Dev577,577,0.491,4
Dev573,573,Dev577,577,0.491,4
Dev563,563,Dev568,568,0.491,4
Dev565,565,Dev577,577,0.491,4
Dev576,576,Dev577,577,0.491,4
Dev565,565,Dev576,576,0.491,4
Dev565,565,Dev575,575,0.491,4
Dev565,565,Dev573,573,0.491,4
Dev146,146,Dev214,214,0.49,4
Dev81,81,Dev146,146,0.49,4
Dev145,146,Dev146,145,0.49,4
Dev77,77,Dev353,353,0.489,4
Dev336,336,Dev458,458,0.487,4
Dev524,445,Dev445,524,0.487,4
Dev317,335,Dev335,317,0.487,4
Dev198,198,Dev327,327,0.487,5
Dev89,327,Dev327,89,0.487,5
Dev317,317,Dev458,458,0.487,4
Dev335,335,Dev336,336,0.487,4
Dev223,327,Dev327,223,0.487,5
Dev524,484,Dev484,524,0.487,4
Dev85,327,Dev327,85,0.487,5
Dev220,220,Dev242,242,0.486,4
Dev56,56,Dev200,200,0.486,4
Dev5,5,Dev495,495,0.486,4
Dev558,558,Dev566,566,0.485,4
Dev7,7,Dev200,200,0.485,4
Dev518,29,Dev29,518,0.485,4
Dev200,200,Dev491,491,0.485,4
Dev518,225,Dev225,518,0.485,4
Dev3,3,Dev544,544,0.482,4
Dev3,3,Dev543,543,0.482,4
Dev336,399,Dev399,336,0.481,4
Dev7,7,Dev484,484,0.48,4
Dev7,62,Dev62,7,0.48,4
Dev490,490,Dev494,494,0.48,4
Dev137,225,Dev225,137,0.48,5
Dev7,7,Dev445,445,0.48,4
Dev62,62,Dev445,445,0.48,4
Dev62,62,Dev484,484,0.48,4
Dev62,62,Dev491,491,0.48,4
Dev33,33,Dev494,494,0.48,4
Dev94,94,Dev494,494,0.48,4
Dev94,94,Dev348,348,0.48,4
Dev33,33,Dev490,490,0.48,4
Dev445,445,Dev491,491,0.48,4
Dev94,94,Dev490,490,0.48,4
Dev8,8,Dev137,137,0.479,5
Dev305,305,Dev359,359,0.478,5
Dev305,305,Dev448,448,0.477,4
Dev242,242,Dev363,363,0.477,4
Dev574,324,Dev324,574,0.477,4
Dev242,242,Dev482,482,0.477,4
Dev7,7,Dev270,270,0.477,4
Dev93,291,Dev291,93,0.477,5
Dev520,324,Dev324,520,0.477,4
Dev137,138,Dev138,137,0.477,4
Dev193,193,Dev291,291,0.477,5
Dev543,324,Dev324,543,0.477,4
Dev541,324,Dev324,541,0.477,4
Dev53,53,Dev180,180,0.477,5
Dev53,53,Dev161,161,0.476,5
Dev14,14,Dev211,211,0.476,5
Dev38,38,Dev119,119,0.476,5
Dev229,229,Dev446,446,0.476,4
Dev465,465,Dev496,496,0.475,4
Dev582,131,Dev131,582,0.475,4
Dev131,131,Dev496,496,0.475,4
Dev560,281,Dev281,560,0.475,4
Dev582,466,Dev466,582,0.475,4
Dev582,496,Dev496,582,0.475,4
Dev466,466,Dev496,496,0.475,4
Dev5,5,Dev281,281,0.475,4
Dev548,466,Dev466,548,0.475,4
Dev582,465,Dev465,582,0.475,4
Dev27,27,Dev281,281,0.475,4
Dev544,281,Dev281,544,0.475,4
Dev548,131,Dev131,548,0.475,4
Dev548,465,Dev465,548,0.475,4
Dev548,496,Dev496,548,0.475,4
Dev548,548,Dev582,582,0.475,4
Dev137,228,Dev228,137,0.473,5
Dev137,229,Dev229,137,0.473,5
Dev142,228,Dev228,142,0.473,5
Dev27,27,Dev559,559,0.473,4
Dev142,229,Dev229,142,0.473,5
Dev326,326,Dev500,500,0.471,4
Dev27,27,Dev326,326,0.471,4
Dev544,544,Dev559,559,0.471,4
Dev326,326,Dev482,482,0.471,4
Dev326,411,Dev411,326,0.471,4
Dev543,503,Dev503,543,0.471,4
Dev543,543,Dev559,559,0.471,4
Dev326,363,Dev363,326,0.471,4
Dev5,5,Dev395,395,0.471,4
Dev544,503,Dev503,544,0.471,4
Dev225,225,Dev228,228,0.469,5
Dev225,225,Dev229,229,0.469,5
Dev119,291,Dev291,119,0.468,5
Dev220,220,Dev482,482,0.467,4
Dev220,220,Dev411,411,0.467,4
Dev220,220,Dev500,500,0.467,4
Dev142,142,Dev292,292,0.466,5
Dev85,85,Dev331,331,0.465,5
Dev198,198,Dev331,331,0.465,5
Dev89,89,Dev331,331,0.465,5
Dev223,223,Dev331,331,0.465,5
Dev331,331,Dev397,397,0.465,5
Dev520,94,Dev94,520,0.463,5
Dev308,308,Dev503,503,0.462,4
Dev316,370,Dev370,316,0.462,5
Dev559,308,Dev308,559,0.462,4
Dev27,27,Dev36,36,0.462,4
Dev541,36,Dev36,541,0.462,4
Dev570,463,Dev463,570,0.462,4
Dev516,36,Dev36,516,0.462,4
Dev282,282,Dev370,370,0.462,5
Dev36,36,Dev363,363,0.462,4
Dev36,36,Dev560,560,0.462,4
Dev520,36,Dev36,520,0.462,4
Dev36,36,Dev425,425,0.462,4
Dev543,36,Dev36,543,0.462,4
Dev36,36,Dev574,574,0.462,4
Dev36,36,Dev447,447,0.462,4
Dev36,36,Dev411,411,0.462,4
Dev36,36,Dev482,482,0.462,4
Dev5,5,Dev559,559,0.462,4
Dev544,36,Dev36,544,0.462,4
Dev36,36,Dev500,500,0.462,4
Dev425,425,Dev448,448,0.461,4
Dev544,448,Dev448,544,0.461,4
Dev14,14,Dev241,241,0.461,4
Dev180,180,Dev391,391,0.461,5
Dev448,448,Dev500,500,0.461,4
Dev411,411,Dev448,448,0.461,4
Dev363,363,Dev448,448,0.461,4
Dev516,448,Dev448,516,0.461,4
Dev447,447,Dev448,448,0.461,4
Dev560,448,Dev448,560,0.461,4
Dev448,448,Dev482,482,0.461,4
Dev168,168,Dev263,263,0.459,5
Dev77,77,Dev365,365,0.459,5
Dev558,558,Dev583,583,0.458,5
Dev18,18,Dev183,183,0.457,5
Dev27,27,Dev492,492,0.457,4
Dev543,492,Dev492,543,0.455,4
Dev242,242,Dev500,500,0.455,4
Dev544,492,Dev492,544,0.455,4
Dev538,351,Dev351,538,0.455,5
Dev57,57,Dev65,65,0.451,5
Dev65,65,Dev67,67,0.451,5
Dev568,568,Dev571,571,0.45,5
Dev558,558,Dev568,568,0.45,5
Dev77,77,Dev104,104,0.45,4
Dev445,445,Dev484,484,0.45,5
Dev558,558,Dev571,571,0.45,5
Dev29,241,Dev241,29,0.449,4
Dev77,77,Dev146,146,0.448,5
Dev143,146,Dev146,143,0.448,5
Dev7,7,Dev491,491,0.448,5
Dev220,220,Dev305,305,0.448,5
Dev574,305,Dev305,574,0.447,4
Dev308,308,Dev492,492,0.447,4
Dev282,282,Dev498,498,0.447,5
Dev541,305,Dev305,541,0.447,4
Dev5,5,Dev492,492,0.447,4
Dev282,282,Dev415,415,0.447,5
Dev33,94,Dev94,33,0.447,5
Dev316,336,Dev336,316,0.446,5
Dev220,220,Dev363,363,0.446,5
Dev308,308,Dev357,357,0.446,5
Dev27,27,Dev308,308,0.446,5
Dev27,27,Dev357,357,0.446,5
Dev27,27,Dev220,220,0.446,5
Dev5,5,Dev357,357,0.446,5
Dev359,411,Dev411,359,0.445,5
Dev359,359,Dev482,482,0.445,5
Dev359,359,Dev500,500,0.445,5
Dev359,425,Dev425,359,0.445,5
Dev560,359,Dev359,560,0.445,5
Dev29,225,Dev225,29,0.445,5
Dev516,359,Dev359,516,0.445,5
Dev359,447,Dev447,359,0.445,5
Dev544,359,Dev359,544,0.445,5
Dev317,336,Dev336,317,0.444,5
Dev3,3,Dev85,85,0.443,3
Dev3,3,Dev89,89,0.443,3
Dev3,3,Dev223,223,0.443,3
Dev562,450,Dev450,562,0.442,5
Dev282,282,Dev398,398,0.44,6
Dev14,14,Dev53,53,0.44,3
Dev561,463,Dev463,561,0.44,5
Dev308,308,Dev500,500,0.439,5
Dev140,290,Dev290,140,0.437,5
Dev563,461,Dev461,563,0.436,5
Dev241,241,Dev404,404,0.436,5
Dev241,241,Dev270,270,0.435,4
Dev242,242,Dev503,503,0.435,4
Dev516,324,Dev324,516,0.434,5
Dev324,447,Dev447,324,0.434,5
Dev324,425,Dev425,324,0.434,5
Dev560,324,Dev324,560,0.434,5
Dev544,324,Dev324,544,0.434,5
Dev282,399,Dev399,282,0.434,5
Dev77,77,Dev205,205,0.433,5
Dev305,324,Dev324,305,0.432,5
Dev558,463,Dev463,558,0.432,5
Dev174,174,Dev494,494,0.431,5
Dev194,194,Dev305,305,0.43,3
Dev169,281,Dev281,169,0.43,4
Dev169,169,Dev354,354,0.43,4
Dev115,115,Dev305,305,0.43,3
Dev5,5,Dev115,115,0.43,3
Dev71,71,Dev169,169,0.43,4
Dev558,558,Dev570,570,0.429,5
Dev3,3,Dev211,211,0.429,3
Dev563,563,Dev570,570,0.429,5
Dev305,305,Dev492,492,0.428,4
Dev77,77,Dev362,362,0.428,5
Dev93,193,Dev193,93,0.428,6
Dev225,225,Dev227,227,0.428,5
Dev305,305,Dev503,503,0.428,4
Dev559,305,Dev305,559,0.428,4
Dev549,549,Dev565,565,0.427,5
Dev137,292,Dev292,137,0.426,3
Dev53,53,Dev142,142,0.426,3
Dev229,229,Dev292,292,0.426,3
Dev290,290,Dev292,292,0.426,3
Dev229,229,Dev300,300,0.426,3
Dev290,290,Dev300,300,0.426,3
Dev5,5,Dev326,326,0.426,5
Dev143,143,Dev214,214,0.426,5
Dev292,292,Dev300,300,0.426,3
Dev137,137,Dev300,300,0.426,3
Dev228,228,Dev292,292,0.426,3
Dev81,81,Dev143,143,0.426,5
Dev53,53,Dev225,225,0.426,3
Dev142,142,Dev300,300,0.426,3
Dev53,53,Dev292,292,0.426,3
Dev225,225,Dev292,292,0.426,3
Dev228,228,Dev300,300,0.426,3
Dev81,81,Dev214,214,0.426,5
Dev81,81,Dev145,145,0.426,5
Dev225,225,Dev300,300,0.426,3
Dev77,77,Dev214,214,0.426,5
Dev53,53,Dev228,228,0.426,3
Dev53,53,Dev229,229,0.426,3
Dev53,53,Dev290,290,0.426,3
Dev202,202,Dev282,282,0.425,5
Dev27,27,Dev503,503,0.425,5
Dev282,282,Dev336,336,0.424,5
Dev242,242,Dev411,411,0.423,5
Dev484,484,Dev491,491,0.423,5
Dev161,161,Dev392,392,0.421,3
