source,source_user_id,target,target_user_id,weight,N
Dev389,389,Dev392,392,0.421,3
Dev392,392,Dev439,439,0.421,3
Dev161,161,Dev439,439,0.421,3
Dev161,161,Dev389,389,0.421,3
Dev81,81,Dev316,316,0.42,5
Dev81,81,Dev282,282,0.42,5
Dev5,5,Dev369,369,0.419,3
Dev14,14,Dev94,94,0.419,5
Dev5,5,Dev503,503,0.418,5
Dev27,27,Dev448,448,0.417,5
Dev183,183,Dev438,438,0.416,3
Dev3,3,Dev103,103,0.416,3
Dev103,103,Dev247,247,0.416,3
Dev29,270,Dev270,29,0.416,5
Dev63,63,Dev263,263,0.415,6
Dev103,103,Dev447,447,0.414,3
Dev53,53,Dev71,71,0.413,3
Dev105,105,Dev351,351,0.411,6
Dev282,282,Dev423,423,0.411,5
Dev53,53,Dev468,468,0.41,3
Dev53,53,Dev472,472,0.409,3
Dev391,391,Dev472,472,0.409,3
Dev53,53,Dev390,390,0.409,3
Dev53,53,Dev391,391,0.409,3
Dev390,390,Dev472,472,0.409,3
Dev71,211,Dev211,71,0.408,3
Dev316,317,Dev317,316,0.407,6
Dev3,3,Dev71,71,0.407,3
Dev29,138,Dev138,29,0.406,3
Dev161,161,Dev472,472,0.405,3
Dev137,137,Dev335,335,0.405,3
Dev137,137,Dev458,458,0.405,3
Dev137,137,Dev468,468,0.405,3
Dev291,291,Dev336,336,0.405,3
Dev105,105,Dev193,193,0.404,3
Dev241,241,Dev291,291,0.404,3
Dev8,8,Dev290,290,0.404,3
Dev538,105,Dev105,538,0.403,6
Dev415,415,Dev498,498,0.403,6
Dev316,316,Dev415,415,0.403,6
Dev316,316,Dev498,498,0.403,6
Dev317,317,Dev498,498,0.402,3
Dev336,336,Dev398,398,0.402,3
Dev336,336,Dev467,467,0.402,3
Dev317,317,Dev415,415,0.402,3
Dev67,67,Dev262,262,0.402,6
Dev94,94,Dev103,103,0.401,3
Dev77,77,Dev81,81,0.401,6
Dev522,303,Dev303,522,0.4,3
Dev262,262,Dev303,303,0.4,3
Dev67,67,Dev303,303,0.4,3
Dev543,305,Dev305,543,0.399,5
Dev282,282,Dev437,437,0.399,3
Dev282,282,Dev414,414,0.399,3
Dev38,38,Dev71,71,0.398,3
Dev65,65,Dev74,74,0.398,3
Dev67,67,Dev261,261,0.398,3
Dev65,65,Dev261,261,0.398,3
Dev67,67,Dev74,74,0.398,3
Dev561,561,Dev563,563,0.397,6
Dev138,290,Dev290,138,0.397,6
Dev103,103,Dev194,194,0.396,3
Dev7,103,Dev103,7,0.396,3
Dev7,7,Dev194,194,0.396,3
Dev335,335,Dev458,458,0.395,6
Dev539,303,Dev303,539,0.395,3
Dev539,57,Dev57,539,0.395,3
Dev205,351,Dev351,205,0.394,3
Dev103,103,Dev394,394,0.394,3
Dev105,105,Dev205,205,0.394,3
Dev205,205,Dev311,311,0.394,3
Dev541,394,Dev394,541,0.393,3
Dev305,446,Dev446,305,0.393,5
Dev520,305,Dev305,520,0.393,5
Dev563,463,Dev463,563,0.391,6
Dev389,389,Dev391,391,0.39,3
Dev389,389,Dev390,390,0.39,3
Dev390,390,Dev439,439,0.39,3
Dev391,439,Dev439,391,0.39,3
Dev93,93,Dev414,414,0.389,3
Dev93,93,Dev437,437,0.389,3
Dev154,154,Dev349,349,0.388,3
Dev154,353,Dev353,154,0.388,3
Dev349,353,Dev353,349,0.388,3
Dev77,77,Dev154,154,0.388,3
Dev205,353,Dev353,205,0.388,3
Dev465,465,Dev466,466,0.387,6
Dev282,282,Dev394,394,0.387,3
Dev131,131,Dev465,465,0.387,6
Dev131,131,Dev466,466,0.387,6
Dev181,181,Dev335,335,0.387,3
Dev181,181,Dev458,458,0.387,3
Dev181,181,Dev468,468,0.387,3
Dev317,370,Dev370,317,0.387,3
Dev180,181,Dev181,180,0.387,3
Dev180,180,Dev458,458,0.387,3
Dev180,335,Dev335,180,0.387,3
Dev583,463,Dev463,583,0.386,3
Dev77,77,Dev145,145,0.386,6
Dev62,62,Dev241,241,0.386,3
Dev563,563,Dev583,583,0.386,3
Dev38,38,Dev161,161,0.386,3
Dev143,143,Dev145,145,0.386,6
Dev559,492,Dev492,559,0.386,5
Dev492,492,Dev503,503,0.386,5
Dev561,561,Dev583,583,0.386,3
Dev516,308,Dev308,516,0.385,3
Dev357,425,Dev425,357,0.385,3
Dev247,282,Dev282,247,0.385,3
Dev316,316,Dev458,458,0.385,3
Dev316,335,Dev335,316,0.385,3
Dev308,447,Dev447,308,0.385,3
Dev516,357,Dev357,516,0.385,3
Dev357,359,Dev359,357,0.385,3
Dev357,447,Dev447,357,0.385,3
Dev308,425,Dev425,308,0.385,3
Dev53,53,Dev291,291,0.384,3
Dev161,291,Dev291,161,0.384,3
Dev53,53,Dev119,119,0.384,3
Dev119,119,Dev161,161,0.384,3
Dev5,5,Dev308,308,0.383,6
Dev242,242,Dev324,324,0.383,3
Dev250,250,Dev351,351,0.383,3
Dev250,250,Dev311,311,0.383,3
Dev265,351,Dev351,265,0.383,3
Dev143,316,Dev316,143,0.383,3
Dev370,370,Dev498,498,0.383,3
Dev538,265,Dev265,538,0.383,3
Dev143,317,Dev317,143,0.383,3
Dev370,370,Dev415,415,0.383,3
Dev105,250,Dev250,105,0.383,3
Dev143,143,Dev394,394,0.383,3
Dev566,566,Dev571,571,0.382,3
Dev566,566,Dev568,568,0.382,3
Dev81,81,Dev370,370,0.382,3
Dev27,27,Dev260,260,0.382,3
Dev260,260,Dev411,411,0.382,3
Dev145,282,Dev282,145,0.381,3
Dev97,97,Dev119,119,0.381,3
Dev38,366,Dev366,38,0.381,3
Dev38,97,Dev97,38,0.381,3
Dev97,97,Dev152,152,0.381,3
Dev143,282,Dev282,143,0.381,3
Dev119,366,Dev366,119,0.381,3
Dev152,152,Dev366,366,0.381,3
Dev152,291,Dev291,152,0.381,3
Dev3,3,Dev574,574,0.379,3
Dev543,260,Dev260,543,0.379,3
Dev143,143,Dev349,349,0.379,3
Dev544,260,Dev260,544,0.379,3
Dev558,461,Dev461,558,0.379,6
Dev143,205,Dev205,143,0.379,3
Dev574,260,Dev260,574,0.379,3
Dev3,3,Dev260,260,0.379,3
Dev94,94,Dev174,174,0.378,3
Dev33,174,Dev174,33,0.378,3
Dev174,174,Dev490,490,0.378,3
Dev316,399,Dev399,316,0.378,3
Dev399,399,Dev498,498,0.378,3
Dev399,399,Dev415,415,0.378,3
Dev81,81,Dev317,317,0.378,3
Dev5,5,Dev574,574,0.377,6
Dev5,5,Dev541,541,0.377,6
Dev538,311,Dev311,538,0.376,3
Dev351,351,Dev453,453,0.376,3
Dev311,453,Dev453,311,0.376,3
Dev336,336,Dev438,438,0.375,3
Dev317,317,Dev438,438,0.375,3
Dev241,241,Dev484,484,0.375,3
Dev399,399,Dev458,458,0.375,3
Dev335,399,Dev399,335,0.375,3
Dev317,399,Dev399,317,0.375,3
Dev438,438,Dev458,458,0.375,3
Dev399,399,Dev438,438,0.375,3
Dev241,241,Dev445,445,0.375,3
Dev5,5,Dev448,448,0.375,6
Dev335,335,Dev438,438,0.375,3
Dev316,353,Dev353,316,0.374,3
Dev353,353,Dev394,394,0.374,3
Dev142,225,Dev225,142,0.374,7
Dev225,225,Dev290,290,0.374,7
Dev317,353,Dev353,317,0.374,3
Dev7,241,Dev241,7,0.372,3
Dev241,241,Dev491,491,0.372,3
Dev461,461,Dev463,463,0.371,3
Dev16,16,Dev18,18,0.37,6
Dev261,261,Dev262,262,0.37,3
Dev305,447,Dev447,305,0.37,6
Dev305,425,Dev425,305,0.37,6
Dev516,305,Dev305,516,0.37,6
Dev74,74,Dev262,262,0.37,3
Dev305,305,Dev482,482,0.37,6
Dev27,27,Dev242,242,0.369,6
Dev568,461,Dev461,568,0.369,3
Dev570,461,Dev461,570,0.369,3
Dev571,461,Dev461,571,0.369,3
Dev63,63,Dev297,297,0.369,3
Dev263,263,Dev297,297,0.369,3
Dev3,3,Dev94,94,0.369,3
Dev242,242,Dev495,495,0.369,3
Dev450,450,Dev496,496,0.368,3
Dev548,450,Dev450,548,0.368,3
Dev3,3,Dev282,282,0.368,3
Dev242,242,Dev448,448,0.368,3
Dev582,450,Dev450,582,0.368,3
Dev281,447,Dev447,281,0.368,3
Dev281,281,Dev425,425,0.368,3
Dev561,461,Dev461,561,0.368,3
Dev131,131,Dev450,450,0.368,3
Dev137,227,Dev227,137,0.368,3
Dev281,281,Dev363,363,0.368,3
Dev450,450,Dev466,466,0.368,3
Dev142,227,Dev227,142,0.368,3
Dev281,281,Dev411,411,0.368,3
Dev324,324,Dev395,395,0.368,3
Dev450,450,Dev465,465,0.368,3
Dev227,290,Dev290,227,0.368,3
Dev281,281,Dev500,500,0.368,3
Dev516,281,Dev281,516,0.368,3
Dev281,281,Dev482,482,0.368,3
Dev5,211,Dev211,5,0.367,3
Dev56,56,Dev491,491,0.366,3
Dev411,411,Dev503,503,0.365,3
Dev281,281,Dev354,354,0.365,6
Dev558,558,Dev561,561,0.365,7
Dev559,411,Dev411,559,0.365,3
Dev71,71,Dev354,354,0.365,6
Dev214,214,Dev482,482,0.364,3
Dev5,5,Dev214,214,0.364,3
Dev214,214,Dev363,363,0.364,3
Dev214,214,Dev411,411,0.364,3
Dev516,214,Dev214,516,0.364,3
Dev214,425,Dev425,214,0.364,3
Dev214,447,Dev447,214,0.364,3
Dev324,324,Dev326,326,0.363,3
Dev357,357,Dev503,503,0.363,3
Dev105,105,Dev165,165,0.363,3
Dev560,503,Dev503,560,0.363,3
Dev560,305,Dev305,560,0.363,6
Dev559,559,Dev560,560,0.363,3
Dev559,503,Dev503,559,0.363,6
Dev559,357,Dev357,559,0.363,3
Dev220,220,Dev326,326,0.363,3
Dev544,305,Dev305,544,0.363,6
Dev29,29,Dev491,491,0.362,3
Dev351,351,Dev491,491,0.362,3
Dev351,351,Dev484,484,0.362,3
Dev62,62,Dev351,351,0.362,3
Dev359,363,Dev363,359,0.362,7
Dev29,29,Dev445,445,0.362,3
Dev29,351,Dev351,29,0.362,3
Dev29,62,Dev62,29,0.362,3
Dev27,27,Dev359,359,0.362,7
Dev351,351,Dev445,445,0.362,3
Dev7,7,Dev351,351,0.362,3
Dev29,29,Dev484,484,0.362,3
Dev27,27,Dev495,495,0.361,3
Dev137,290,Dev290,137,0.361,7
Dev36,36,Dev466,466,0.36,3
Dev365,365,Dev508,508,0.36,3
Dev36,36,Dev465,465,0.36,3
Dev526,508,Dev508,526,0.36,3
Dev448,448,Dev495,495,0.359,3
Dev137,137,Dev446,446,0.358,3
Dev142,142,Dev446,446,0.358,3
Dev305,305,Dev500,500,0.358,6
Dev228,228,Dev446,446,0.358,3
Dev568,463,Dev463,568,0.357,3
Dev571,463,Dev463,571,0.357,3
Dev305,305,Dev326,326,0.357,3
Dev154,154,Dev265,265,0.357,3
Dev105,105,Dev154,154,0.357,3
Dev500,500,Dev503,503,0.354,3
Dev205,362,Dev362,205,0.354,3
Dev559,500,Dev500,559,0.354,3
Dev282,282,Dev317,317,0.353,7
Dev227,228,Dev228,227,0.353,3
Dev228,229,Dev229,228,0.353,7
Dev336,336,Dev423,423,0.353,3
Dev317,317,Dev423,423,0.353,3
Dev335,335,Dev423,423,0.353,3
Dev282,282,Dev335,335,0.353,3
Dev227,229,Dev229,227,0.353,3
Dev282,282,Dev458,458,0.353,3
Dev423,423,Dev458,458,0.353,3
Dev324,324,Dev448,448,0.353,3
Dev225,225,Dev270,270,0.352,3
Dev3,3,Dev484,484,0.352,3
Dev566,461,Dev461,566,0.351,3
Dev563,563,Dev566,566,0.351,3
Dev242,447,Dev447,242,0.35,3
Dev242,242,Dev425,425,0.35,3
Dev516,242,Dev242,516,0.35,3
Dev543,281,Dev281,543,0.35,3
Dev508,508,Dev509,509,0.349,3
Dev362,362,Dev508,508,0.349,3
Dev411,411,Dev492,492,0.349,3
Dev57,57,Dev262,262,0.349,7
Dev305,305,Dev395,395,0.348,3
Dev104,104,Dev365,365,0.348,3
Dev357,357,Dev492,492,0.347,3
Dev560,492,Dev492,560,0.347,3
Dev336,336,Dev370,370,0.347,3
Dev79,79,Dev205,205,0.346,3
Dev65,65,Dev262,262,0.346,3
Dev56,56,Dev351,351,0.345,3
Dev200,351,Dev351,200,0.345,3
Dev359,359,Dev448,448,0.344,3
Dev544,326,Dev326,544,0.344,3
Dev516,326,Dev326,516,0.344,3
Dev560,326,Dev326,560,0.344,3
Dev326,326,Dev448,448,0.344,3
Dev326,447,Dev447,326,0.344,3
Dev326,425,Dev425,326,0.344,3
Dev326,359,Dev359,326,0.344,3
Dev62,62,Dev200,200,0.343,3
Dev270,270,Dev484,484,0.343,3
Dev270,270,Dev445,445,0.343,3
Dev524,491,Dev491,524,0.343,3
Dev270,270,Dev283,283,0.343,3
Dev524,283,Dev283,524,0.343,3
Dev200,200,Dev445,445,0.343,3
Dev62,62,Dev270,270,0.343,3
Dev524,62,Dev62,524,0.343,3
Dev270,270,Dev491,491,0.343,3
Dev200,200,Dev283,283,0.343,3
Dev283,445,Dev445,283,0.343,3
Dev283,283,Dev484,484,0.343,3
Dev283,283,Dev491,491,0.343,3
Dev524,200,Dev200,524,0.343,3
Dev524,270,Dev270,524,0.343,3
Dev77,77,Dev143,143,0.343,7
Dev200,200,Dev270,270,0.343,3
Dev7,7,Dev524,524,0.343,3
Dev7,7,Dev283,283,0.343,3
Dev324,446,Dev446,324,0.343,3
Dev200,200,Dev484,484,0.343,3
Dev8,8,Dev227,227,0.342,3
Dev14,14,Dev270,270,0.342,3
Dev270,270,Dev404,404,0.342,3
Dev14,14,Dev404,404,0.342,3
Dev395,395,Dev482,482,0.341,3
Dev27,27,Dev324,324,0.341,7
Dev27,27,Dev395,395,0.341,3
Dev324,324,Dev500,500,0.341,7
Dev324,324,Dev363,363,0.341,7
Dev324,324,Dev411,411,0.341,7
Dev18,18,Dev351,351,0.341,3
Dev395,395,Dev500,500,0.341,3
Dev324,324,Dev482,482,0.341,7
Dev395,411,Dev411,395,0.341,3
Dev363,363,Dev395,395,0.341,3
Dev561,561,Dev570,570,0.34,3
Dev516,220,Dev220,516,0.34,3
Dev220,447,Dev447,220,0.34,3
Dev137,140,Dev140,137,0.34,3
Dev220,220,Dev425,425,0.34,3
Dev560,220,Dev220,560,0.34,3
Dev544,220,Dev220,544,0.34,3
Dev492,492,Dev500,500,0.339,3
Dev77,77,Dev509,509,0.339,3
Dev362,362,Dev509,509,0.339,3
Dev560,242,Dev242,560,0.337,3
Dev544,242,Dev242,544,0.337,3
Dev520,448,Dev448,520,0.336,3
Dev446,446,Dev448,448,0.336,3
Dev543,448,Dev448,543,0.336,3
Dev81,81,Dev415,415,0.335,3
Dev81,81,Dev498,498,0.335,3
Dev242,242,Dev308,308,0.334,3
Dev138,138,Dev140,140,0.332,7
Dev140,142,Dev142,140,0.332,7
Dev36,36,Dev446,446,0.328,3
Dev305,411,Dev411,305,0.322,7
Dev85,85,Dev397,397,0.319,8
Dev89,89,Dev397,397,0.319,8
Dev223,223,Dev397,397,0.319,8
Dev198,198,Dev397,397,0.319,8
Dev305,305,Dev308,308,0.318,3
Dev242,242,Dev492,492,0.317,3
Dev559,242,Dev242,559,0.317,3
Dev5,446,Dev446,5,0.313,7
Dev261,261,Dev305,305,0.313,3
Dev242,261,Dev261,242,0.313,3
Dev137,142,Dev142,137,0.311,8
Dev57,57,Dev67,67,0.31,8
Dev5,5,Dev220,220,0.309,8
